SemiYear,Date,Cash,UnitVal,TRet,PRet,PSharpe,PMaxDD,PCalmar,PWinR,TMaxDD,TSharpe,TCalmar,TWinR,TAnnRet
2015-H2,2015-12-31,20439643.4,1.022,0.022,0.022,0.727,-0.026,0.858,0.56,-0.14,0.246,1.757,0.498,0.01
2016-H1,2016-06-30,21253290.8,1.063,0.063,0.04,2.629,-0.018,2.233,0.55,-0.14,0.246,1.757,0.498,0.01
2016-H2,2016-12-30,21602361.8,1.08,0.08,0.016,0.866,-0.023,0.722,0.548,-0.14,0.246,1.757,0.498,0.01
2017-H1,2017-06-30,23388234.9,1.169,0.169,0.083,5.591,-0.018,4.69,0.613,-0.14,0.246,1.757,0.498,0.01
2017-H2,2017-12-29,22957116.3,1.148,0.148,-0.018,-1.105,-0.043,-0.429,0.48,-0.14,0.246,1.757,0.498,0.01
2018-H1,2018-06-29,23401716.5,1.17,0.17,0.019,1.185,-0.042,0.462,0.504,-0.14,0.246,1.757,0.498,0.01
2018-H2,2018-12-28,22724231.3,1.136,0.136,-0.029,-1.85,-0.068,-0.428,0.435,-0.14,0.246,1.757,0.498,0.01
2019-H1,2019-06-28,23101764.0,1.155,0.155,0.017,0.893,-0.064,0.258,0.508,-0.14,0.246,1.757,0.498,0.01
2019-H2,2019-12-31,23218591.6,1.161,0.161,0.005,0.375,-0.065,0.078,0.46,-0.14,0.246,1.757,0.498,0.01
2020-H1,2020-06-30,23019067.8,1.151,0.151,-0.009,-0.477,-0.047,-0.183,0.479,-0.14,0.246,1.757,0.498,0.01
2020-H2,2020-12-31,22337425.0,1.117,0.117,-0.03,-1.533,-0.082,-0.363,0.46,-0.14,0.246,1.757,0.498,0.01
2021-H1,2021-06-30,21341097.0,1.067,0.067,-0.045,-2.093,-0.134,-0.332,0.458,-0.14,0.246,1.757,0.498,0.01
2021-H2,2021-12-31,21911562.7,1.096,0.096,0.027,1.076,-0.14,0.191,0.48,-0.14,0.246,1.757,0.498,0.01
2022-H1,2022-06-30,21957822.3,1.098,0.098,0.002,0.109,-0.102,0.021,0.479,-0.14,0.246,1.757,0.498,0.01
2022-H2,2022-12-30,21562017.7,1.078,0.078,-0.018,-0.905,-0.118,-0.153,0.456,-0.14,0.246,1.757,0.498,0.01
